"TIME","GEO","INDIC_HE","SEX","UNIT","Value","Flag and Footnotes"
"2004","European Union - 27 countries (from 2020)","Health expectancy in absolute values at birth ","Total","Year","70.6","e"
"2004","European Union - 27 countries (from 2020)","Health expectancy in absolute values at birth ","Males","Year","68.8","e"
"2004","European Union - 27 countries (from 2020)","Health expectancy in absolute values at birth ","Females","Year","72.4","e"
"2004","European Union - 27 countries (from 2020)","Health expectancy in absolute values at 50","Total","Year","23.9","e"
"2004","European Union - 27 countries (from 2020)","Health expectancy in absolute values at 50","Males","Year","22.6","e"
"2004","European Union - 27 countries (from 2020)","Health expectancy in absolute values at 50","Females","Year","25.1","e"
"2004","European Union - 27 countries (from 2020)","Health expectancy in absolute values at 65","Total","Year","12.9","e"
"2004","European Union - 27 countries (from 2020)","Health expectancy in absolute values at 65","Males","Year","12.1","e"
"2004","European Union - 27 countries (from 2020)","Health expectancy in absolute values at 65","Females","Year","13.6","e"
"2004","European Union - 28 countries (2013-2020)","Health expectancy in absolute values at birth ","Total","Year","70.7","e"
"2004","European Union - 28 countries (2013-2020)","Health expectancy in absolute values at birth ","Males","Year","68.9","e"
"2004","European Union - 28 countries (2013-2020)","Health expectancy in absolute values at birth ","Females","Year","72.4","e"
"2004","European Union - 28 countries (2013-2020)","Health expectancy in absolute values at 50","Total","Year","24.0","e"
"2004","European Union - 28 countries (2013-2020)","Health expectancy in absolute values at 50","Males","Year","22.7","e"
"2004","European Union - 28 countries (2013-2020)","Health expectancy in absolute values at 50","Females","Year","25.1","e"
"2004","European Union - 28 countries (2013-2020)","Health expectancy in absolute values at 65","Total","Year","12.9","e"
"2004","European Union - 28 countries (2013-2020)","Health expectancy in absolute values at 65","Males","Year","12.1","e"
"2004","European Union - 28 countries (2013-2020)","Health expectancy in absolute values at 65","Females","Year","13.5","e"
"2004","European Union - 27 countries (2007-2013)","Health expectancy in absolute values at birth ","Total","Year",":",""
"2004","European Union - 27 countries (2007-2013)","Health expectancy in absolute values at birth ","Males","Year",":",""
"2004","European Union - 27 countries (2007-2013)","Health expectancy in absolute values at birth ","Females","Year",":",""
"2004","European Union - 27 countries (2007-2013)","Health expectancy in absolute values at 50","Total","Year",":",""
"2004","European Union - 27 countries (2007-2013)","Health expectancy in absolute values at 50","Males","Year",":",""
"2004","European Union - 27 countries (2007-2013)","Health expectancy in absolute values at 50","Females","Year",":",""
"2004","European Union - 27 countries (2007-2013)","Health expectancy in absolute values at 65","Total","Year",":",""
"2004","European Union - 27 countries (2007-2013)","Health expectancy in absolute values at 65","Males","Year",":",""
"2004","European Union - 27 countries (2007-2013)","Health expectancy in absolute values at 65","Females","Year",":",""
"2004","Belgium","Health expectancy in absolute values at birth ","Total","Year","72.9",""
"2004","Belgium","Health expectancy in absolute values at birth ","Males","Year","71.0",""
"2004","Belgium","Health expectancy in absolute values at birth ","Females","Year","74.6",""
"2004","Belgium","Health expectancy in absolute values at 50","Total","Year","26.3",""
"2004","Belgium","Health expectancy in absolute values at 50","Males","Year","24.8",""
"2004","Belgium","Health expectancy in absolute values at 50","Females","Year","27.6",""
"2004","Belgium","Health expectancy in absolute values at 65","Total","Year","14.9",""
"2004","Belgium","Health expectancy in absolute values at 65","Males","Year","13.6",""
"2004","Belgium","Health expectancy in absolute values at 65","Females","Year","16.0",""
"2004","Bulgaria","Health expectancy in absolute values at birth ","Total","Year",":",""
"2004","Bulgaria","Health expectancy in absolute values at birth ","Males","Year",":",""
"2004","Bulgaria","Health expectancy in absolute values at birth ","Females","Year",":",""
"2004","Bulgaria","Health expectancy in absolute values at 50","Total","Year",":",""
"2004","Bulgaria","Health expectancy in absolute values at 50","Males","Year",":",""
"2004","Bulgaria","Health expectancy in absolute values at 50","Females","Year",":",""
"2004","Bulgaria","Health expectancy in absolute values at 65","Total","Year",":",""
"2004","Bulgaria","Health expectancy in absolute values at 65","Males","Year",":",""
"2004","Bulgaria","Health expectancy in absolute values at 65","Females","Year",":",""
